Bait	Prey	PreyGene	Spec	SpecSum	AvgSpec	NumReplicates	ctrlCounts	AvgP	MaxP	TopoAvgP	TopoMaxP	SaintScore	logOddsScore	FoldChange	BFDR	ctrlSubtracted	CLSC	Specificity	UniqueSpec	UniqueSpecSum	UniqueAvgSpec	PreySequenceLength	UniProtID
E	B0FP48	UPK3BL1	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.11	25.0	0.0	2.5	5.23	9.29	2|3	5	2.5	263	UPK3L_HUMAN
E	O15127	SCAMP2	2|2	4	2.0	2	0|0|0|0|0|0|0|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.14	20.0	0.0	2.0	3.34	3.35	2|2	4	2.0	329	SCAM2_HUMAN
E	O15143	ARPC1B	4|5	9	4.5	2	0|0|0|0|0|0|0|0|0|0|2|0	0.86	0.9	0.85	0.9	0.86	1.44	6.75	0.01	4.33	6.4	0.77	3|4	7	3.5	372	ARC1B_HUMAN
E	Q9HCU5	PREB	7|5	12	6.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.41	60.0	0.0	6.0	7.91	2.28	6|4	10	5.0	417	PREB_HUMAN
E	P42704	LRPPRC	26|16	42	21.0	2	8|4|0|0|0|0|0|0|0|0|0|0	0.92	0.99	0.93	0.99	0.93	1.89	5.25	0.01	20.0	7.89	3.4	24|14	38	19.0	1394	LPPRC_HUMAN
E	Q12931	TRAP1	33|29	62	31.0	2	10|9|0|0|0|0|0|0|0|0|0|0	0.97	0.98	0.97	0.98	0.97	3.12	4.89	0.0	29.42	24.86	3.47	24|20	44	22.0	651	TRAP1_HUMAN
E	O60858	TRIM13	8|13	21	10.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	13.2	105.0	0.0	10.5	14.09	2.28	8|9	17	8.5	410	TRI13_HUMAN
E	O15439	ABCC4	32|33	65	32.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	48.82	325.0	0.0	32.5	13.49	4.47	24|25	49	24.5	1325	MRP4_HUMAN
E	O75844	ZMPSTE24	4|3	7	3.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	5.02	35.0	0.0	3.5	4.05	0.99	3|2	5	2.5	475	FACE1_HUMAN
E	O15155	BET1	13|7	20	10.0	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	11.68	100.0	0.0	10.0	46.61	2.43	2|2	4	2.0	118	BET1_HUMAN
E	O43402	EMC8	6|5	11	5.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.38	55.0	0.0	5.5	14.4	2.31	5|5	10	5.0	210	EMC8_HUMAN
E	O14744	PRMT5	2|3	5	2.5	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	0.99	0.98	0.99	0.98	3.14	25.0	0.0	2.5	2.22	0.69	2|3	5	2.5	620	ANM5_HUMAN
E	O14735	CDIPT	2|2	4	2.0	2	0|0|0|0|0|0|0|0|0|0|0|0	0.96	0.96	0.96	0.96	0.96	3.11	20.0	0.0	2.0	5.16	2.21	2|2	4	2.0	213	CDIPT_HUMAN
E	O15173	PGRMC2	5|6	11	5.5	2	0|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	8.38	55.0	0.0	5.5	12.25	2.51	4|4	8	4.0	247	PGRC2_HUMAN
E	O95487	SEC24B	41|51	92	46.0	2	14|6|13|16|14|0|0|0|6|7|9|5	0.99	1.0	0.99	1.0	0.99	3.8	3.14	0.0	38.5	17.17	2.4	22|28	50	25.0	1233	SC24B_HUMAN
E	O43615	TIMM44	17|20	37	18.5	2	3|0|0|0|0|0|0|0|0|0|0|0	1.0	1.0	1.0	1.0	1.0	6.13	18.5	0.0	18.25	22.21	4.87	12|13	25	12.5	452	TIM44_HUMAN
E	O14967	CLGN	2|4	6	3.0	2	0|0|0|0|0|0|0|0|0|0|0|0	0.98	1.0	0.98	1.0	0.98	3.11	30.0	0.0	3.0	2.7	1.58	2|4	6	3.0	610	CLGN_HUMAN
E	O75915	ARL6IP5	11|11	22	11.0	2	0|0|0|0|0|0|0|0|0|0|0|5	0.91	0.91	0.91	0.91	0.91	2.27	6.6	0.01	10.58	30.95	2.13	5|4	9	4.5	188	PRAF3_HUMAN
